  1.490  0.34993777E+01  0.34248868E+01  0.25872740E+02
  1.500  0.35049957E+01  0.34902135E+01  0.26034810E+02
  1.510  0.35126371E+01  0.35555402E+01  0.26196732E+02
  1.521  0.35226079E+01  0.36208669E+01  0.26358503E+02
  1.531  0.35352063E+01  0.36861935E+01  0.26520120E+02
  1.542  0.35507169E+01  0.37515202E+01  0.26681579E+02
  1.552  0.35691244E+01  0.38168469E+01  0.26842877E+02
  1.562  0.35907245E+01  0.38821736E+01  0.27004010E+02
  1.573  0.36157704E+01  0.39475003E+01  0.27164973E+02
  1.583  0.36444838E+01  0.40128269E+01  0.27325761E+02
  1.594  0.36764317E+01  0.40781536E+01  0.27486369E+02
  1.604  0.37117197E+01  0.41434803E+01  0.27646794E+02
  1.615  0.37503995E+01  0.42088070E+01  0.27807030E+02
  1.625  0.37925187E+01  0.42741337E+01  0.27967072E+02
  1.635  0.38379871E+01  0.43394603E+01  0.28126917E+02
  1.646  0.38875327E+01  0.44047870E+01  0.28286559E+02
  1.656  0.39414727E+01  0.44701137E+01  0.28445993E+02
  1.667  0.40000534E+01  0.45354404E+01  0.28605212E+02
  1.677  0.40649897E+01  0.46007671E+01  0.28764211E+02
  1.688  0.41402722E+01  0.46660937E+01  0.28922981E+02
  1.698  0.42257142E+01  0.47314204E+01  0.29081507E+02
  1.708  0.43226486E+01  0.47967471E+01  0.29239774E+02
  1.719  0.44295626E+01  0.48457421E+01  0.29397766E+02
  1.729  0.45453629E+01  0.48784055E+01  0.29555446E+02
  1.740  0.46702890E+01  0.48947371E+01  0.29712778E+02
  1.750  0.48042891E+01  0.48947371E+01  0.29869724E+02
  1.760  0.49461936E+01  0.48947371E+01  0.30026250E+02
  1.771  0.50934866E+01  0.48947371E+01  0.30182344E+02
  1.781  0.52452985E+01  0.48947371E+01  0.30338000E+02
  1.792  0.54011950E+01  0.48947371E+01  0.30493210E+02
  1.802  0.55590630E+01  0.48947371E+01  0.30647970E+02
  1.812  0.57159382E+01  0.48947371E+01  0.30802278E+02
  1.823  0.58705832E+01  0.48947371E+01  0.30956136E+02
  1.833  0.60223868E+01  0.48947371E+01  0.31109547E+02
  1.844  0.61705189E+01  0.48947371E+01  0.31262517E+02
  1.854  0.63131069E+01  0.48947371E+01  0.31415051E+02
  1.865  0.64493039E+01  0.48947371E+01  0.31567159E+02
  1.875  0.65786430E+01  0.48947371E+01  0.31718849E+02
  1.885  0.67012502E+01  0.48947371E+01  0.31870132E+02
  1.896  0.68159218E+01  0.48947371E+01  0.32021020E+02
  1.906  0.69220219E+01  0.48947371E+01  0.32171523E+02
  1.917  0.70190249E+01  0.48947371E+01  0.32321654E+02
  1.927  0.71075766E+01  0.48947371E+01  0.32471429E+02
  1.938  0.71861532E+01  0.48947371E+01  0.32620858E+02
  1.948  0.72481468E+01  0.48947371E+01  0.32769958E+02
  1.958  0.73016944E+01  0.48947371E+01  0.32918752E+02
  1.969  0.73436644E+01  0.48947371E+01  0.33067253E+02
  1.979  0.73806799E+01  0.48947371E+01  0.33215479E+02
  1.990  0.74081371E+01  0.48947371E+01  0.33363437E+02
  2.000  0.74299604E+01  0.48947371E+01  0.33511141E+02
  2.010  0.74471399E+01  0.48947371E+01  0.33658600E+02
  2.021  0.74609970E+01  0.48947371E+01  0.33805821E+02
  2.031  0.74718782E+01  0.48947371E+01  0.33952808E+02
  2.042  0.74800297E+01  0.48947371E+01  0.34099568E+02
  2.052  0.74865656E+01  0.48947371E+01  0.34246103E+02
  2.062  0.74918864E+01  0.48947371E+01  0.34392416E+02
  2.073  0.74960269E+01  0.48947371E+01  0.34538510E+02
  2.083  0.74986789E+01  0.48947371E+01  0.34684387E+02
  2.094  0.75008575E+01  0.48947371E+01  0.34830049E+02
  2.104  0.75026488E+01  0.48947371E+01  0.34975497E+02
  2.115  0.75040570E+01  0.48947371E+01  0.35120732E+02
  2.125  0.75050713E+01  0.48947371E+01  0.35265755E+02
  2.135  0.75060453E+01  0.48947371E+01  0.35410567E+02
  2.146  0.75069980E+01  0.48947371E+01  0.35555168E+02
  2.156  0.75079392E+01  0.48947371E+01  0.35699558E+02
  2.167  0.75088784E+01  0.48947371E+01  0.35843738E+02
  2.177  0.75098008E+01  0.48947371E+01  0.35987708E+02
  2.188  0.75107201E+01  0.48947371E+01  0.36131468E+02
  2.198  0.75116485E+01  0.48947371E+01  0.36275019E+02
  2.208  0.75125987E+01  0.48947371E+01  0.36418361E+02
  2.219  0.75135282E+01  0.48947371E+01  0.36561494E+02
  2.229  0.75144527E+01  0.48947371E+01  0.36704419E+02
  2.240  0.75153856E+01  0.48947371E+01  0.36847135E+02
  2.250  0.75163404E+01  0.48947371E+01  0.36989644E+02
  2.260  0.75172450E+01  0.48947371E+01  0.37131945E+02
  2.271  0.75181139E+01  0.48947371E+01  0.37274039E+02
  2.281  0.75189580E+01  0.48947371E+01  0.37415926E+02
  2.292  0.75197874E+01  0.48947371E+01  0.37557607E+02
